Field Name,Units
Temporary Data Flag - Parking,
Temporary Data Flag - Performing Arts,
"Temporary Data Flag - Personal Services (Health/Beauty, Dry Cleaning, etc)",
Temporary Data Flag - Police Station,
Temporary Data Flag - Pre-school/Daycare,
Temporary Data Flag - Prison/Incarceration,
Temporary Data Flag - Race Track,
Temporary Data Flag - Refrigerated Warehouse,
"Temporary Data Flag - Repair Services (Vehicle, Shoe, Locksmith, etc)",
Temporary Data Flag - Residence Hall/Dormitory,
Temporary Data Flag - Restaurant,
Temporary Data Flag - Retail Store,
Temporary Data Flag - Roller Rink,
Temporary Data Flag - Self-Storage Facility,
Temporary Data Flag - Senior Care Community,
Temporary Data Flag - Single Family Home,
Temporary Data Flag - Social/Meeting Hall,
Temporary Data Flag - Stadium (Closed),
Temporary Data Flag - Stadium (Open),
Temporary Data Flag - Strip Mall,
Temporary Data Flag - Supermarket/Grocery Store,
Temporary Data Flag - Swimming Pool,
Temporary Data Flag - Transportation Terminal/Station,
Temporary Data Flag - Urgent Care/Clinic/Other Outpatient,
Temporary Data Flag - Veterinary Office,
Temporary Data Flag - Vocational School,
Temporary Data Flag - Wastewater Treatment Plant,
Temporary Data Flag - Wholesale Club/Supercenter,
Temporary Data Flag - Worship Facility,
Temporary Data Flag - Zoo,
Data Center UPS Output Site Energy,kWh
Data Center PDU Input Site Energy,kWh
Data Center PDU Output Site Energy,kWh
Data Center IT Equipment Input Site Energy,kWh
Data Center IT Site Energy,kBtu
Data Center IT Souce Energy,kBtu
Data Center PUE,
Data Center National Median PUE,
Energy Baseline Date,Date
Energy Current Date,Date
ENERGY STAR Score,
National Median ENERGY STAR Score,
National Median Site Energy Use,kBtu
National Median Source Energy Use,kBtu
National Median Site EUI,kBtu/ft2
National Median Source EUI,kBtu/ft2
National Median Water/Wastewater Site EUI,kBtu/gpd
National Median Water/Wastewater Source EUI,kBtu/gpd
Percent Better than National Median Site EUI,Percentage
Percent Better than National Median Source EUI,Percentage
Percent Better than National Median Water/Wastewater Site EUI,Percentage
Percent Better than National Median Water/Wastewater Source EUI,Percentage
Site Energy Use,kBtu
Source Energy Use,kBtu
Site EUI,kBtu/ft2
Source EUI,kBtu/ft2
Water/Wastewater Site EUI ,kBtu/gpd
Water/Wastewater Source EUI,kBtu/gpd
Weather Normalized Site Energy Use,kBtu
Weather Normalized Source Energy Use,kBtu
Weather Normalized Site EUI,kBtu/ft2
Weather Normalized Source EUI,kBtu/ft2
Weather Normalized Water/Wastewater Site EUI ,kBtu/gpd
Weather Normalized Water/Wastewater Source EUI,kBtu/gpd
Weather Normalized Site Electricity,kWh
Weather Normalized Site Electricity Intensity,kWh/ft2
Weather Normalized Water/Wastewater Site Electricity Intensity,kWh/gpd
Weather Normalized Site Natural Gas Use,therms
Weather Normalized Site Natural Gas Intensity,therms/ft2
Weather Normalized Water/Wastewater Site Natural Gas Intensity,therms/gpd
Site Energy Use - Adjusted to Current Year,kBtu
Source Energy Use - Adjusted to Current Year,kBtu
Site EUI - Adjusted to Current Year,kBtu/ft2
Source EUI - Adjusted to Current Year,kBtu/ft2
Water/Wastewater Site EUI - Adjusted to Current Year,kBtu/gpd
Water/Wastewater Source EUI - Adjusted to Current Year,kBtu/gpd 
ENERGY STAR Certification - Year(s) Certified,
ENERGY STAR Certification - Last Approval Date,Date
ENERGY STAR Certification - Next Eligible Date,Date
ENERGY STAR Certification - Eligibility ,
ENERGY STAR Certification - Application Status,
ENERGY STAR Certification - Profile Published ,
Electricity Use - Grid Purchase and Onsite,kWh
Electricity Use - Grid Purchase and Onsite,kBtu
Electricity Use - Grid Purchase,kWh
Electricity Use - Grid Purchase,kBtu
Electricity Use - Onsite Renewable System Electricity Used Onsite/Coincident,kWh
Electricity Use - Onsite Renewable System Electricity Used Onsite/Coincident,kBtu
Natural Gas Use,therms
Natural Gas Use,kBtu
Fuel Oil No. 1 Use,kBtu
Fuel Oil No. 2 Use,kBtu
Fuel Oil No. 4 Use,kBtu
Fuel Oil No. 5 & No. 6 Use,kBtu
Diesel Use,kBtu
Kerosene Use,kBtu
Propane Use,kBtu
Liquid Propane Use,kBtu
District Steam Use,kBtu
District Hot Water Use,kBtu
District Chilled Water Use,kBtu
Coal - Anthracite Use,kBtu
Coal - Bituminous Use,kBtu
Coke Use,kBtu
Wood Use,kBtu
Other Energy Use,kBtu 
Total GHG Emissions,MtCO2e
Total GHG Emissions Intensity,kgCO2e/ft2
Water/Wastewater Total GHG Emissions Intensity,kgCO2e/gpd
Direct GHG Emissions ,MtCO2e
Direct GHG Emissions Intensity,kgCO2e/ft2
Water/Wastewater Direct GHG Emissions Intensity,kgCO2e/gpd
Indirect GHG Emissions,MtCO2e
Indirect GHG Emissions Intensity,kgCO2e/ft2
Water/Wastewater Indirect GHG Emissions Intensity,kgCO2e/gpd
Biomass GHG Emissions,MtCO2e
Biomass GHG Emissions Intensity,kgCO2e/ft2
Water/Wastewater Biomass GHG Emissions Intensity,kgCO2e/gpd
eGRID Output Emissions Rate,kgCO2e/MBtu
eGRID Region,
Electric Distribution Utlity,
Power Plant,
National Median Total GHG Emissions,MtCO2e 
Design ENERGY STAR Score,
Design Site Energy Use,kBtu
Design Source Energy Use,kBtu
Design Site EUI,kBtu/ft2
Design Source EUI,kBtu/ft2
Design Water/Wastewater Site EUI ,kBtu/gpd
Design Water/Wastewater Source EUI,kBtu/gpd
Design Energy Cost,Dollars
Design Energy Cost Intensity,Dollars/ft2
Design Total GHG Emissions,MtCO2e
Design Total GHG Emissions Intensity,kgCO2e/ft2
Design Direct GHG Emissions ,MtCO2e
Design Indirect GHG Emissions,MtCO2e
Design Biomass GHG Emissions,MtCO2e
Design Electricity Use - Grid Purchase,kBtu
Design Electricity Use - Grid Purchase and Onsite,kBtu
Design Electricity Use - Onsite Renewable System Electricity Used Onsite/Coincident,kBtu
Design Natural Gas Use,kBtu
Design Fuel Oil No. 1 Use,kBtu
Design Fuel Oil No. 2 Use,kBtu
Design Fuel Oil No. 4 Use,kBtu
Design Fuel Oil No. 5 & No. 6 Use,kBtu
Design Diesel Use,kBtu
Design Kerosene Use,kBtu
Design Propane Use,kBtu
Design Liquid Propane Use,kBtu
Design District Steam Use,kBtu
Design District Hot Water Use,kBtu
Design District Chilled Water Use,kBtu
Design Coal - Anthracite Use,kBtu
Design Coal - Bituminous Use,kBtu
Design Coke Use,kBtu
Design Wood Use,kBtu
Design Other Energy Use,kBtu
Design Adult Education - Gross Floor Area,ft2
Design Ambulatory Surgical Center - Gross Floor Area,ft2
Design Aquarium - Gross Floor Area,ft2
Design Automobile Dealership - Gross Floor Area,ft2
Design Bank Branch - Gross Floor Area,ft2
Design Bar/Nightclub - Gross Floor Area,ft2
Design Barracks - Gross Floor Area,ft2
Design Bowling Alley - Gross Floor Area,ft2
Design Casino - Gross Floor Area,ft2
Design College/University - Gross Floor Area,ft2
Design Convenience Store with Gas Station - Gross Floor Area,ft2
Design Convenience Store without Gas Station - Gross Floor Area,ft2
Design Convention Center - Gross Floor Area,ft2
Design Courthouse - Gross Floor Area,ft2
Design Data Center - Gross Floor Area,ft2
Design Distribution Center - Gross Floor Area,ft2
Design Drinking Water Treatment & Distribution - Gross Floor Area,ft2
Design Enclosed Mall - Gross Floor Area,ft2
Design Energy/Power Station - Gross Floor Area,ft2
Design Fast Food Restaurant - Gross Floor Area,ft2
Design Financial Office - Gross Floor Area,ft2
Design Fire Station - Gross Floor Area,ft2
Design Fitness Center/Health Club/Gym - Gross Floor Area,ft2
Design Food Sales - Gross Floor Area,ft2
Design Food Service - Gross Floor Area,ft2
Design Hospital (General Medical & Surgical) - Gross Floor Area,ft2 
Design Hotel - Gross Floor Area,ft2
Design Ice/Curling Rink - Gross Floor Area,ft2
Design Indoor Arena - Gross Floor Area,ft2
Design K-12 School - Gross Floor Area,ft2
Design Laboratory - Gross Floor Area,ft2
Design Library - Gross Floor Area,ft2
Design Lifestyle Center - Gross Floor Area,ft2
Design Mailing Center/Post Office - Gross Floor Area,ft2
Design Manufacturing/Industrial Plant - Gross Floor Area,ft2
Design Medical Office - Gross Floor Area,ft2
Design Movie Theater - Gross Floor Area,ft2
Design Multifamily Housing - Gross Floor Area,ft2
Design Museum - Gross Floor Area,ft2
Design Non-Refrigerated Warehouse - Gross Floor Area,ft2
Design Office - Gross Floor Area,ft2
Design Other - Education - Gross Floor Area,ft2
Design Other - Entertainment/Public Assembly - Gross Floor Area,ft2
Design Other - Gross Floor Area,ft2
Design Other - Lodging/Residential - Gross Floor Area,ft2
Design Other - Mall - Gross Floor Area,ft2
Design Other - Public Services - Gross Floor Area,ft2
Design Other - Recreation - Gross Floor Area,ft2
Design Other - Restaurant/Bar - Gross Floor Area,ft2
Design Other - Services - Gross Floor Area,ft2
Design Other - Stadium - Gross Floor Area,ft2
Design Other - Technology/Science - Gross Floor Area,ft2
Design Other - Utility - Gross Floor Area,ft2
Design Other/Speciality Hospital - Gross Floor Area,ft2
Design Outpatient Rehabilitation/Physical Therapy - Gross Floor Area,ft2
Design Parking - Gross Floor Area,ft2
Design Performing Arts - Gross Floor Area,ft2
"Design Personal Services (Health/Beauty, Dry Cleaning, etc) - Gross Floor Area",ft2
Design Police Station - Gross Floor Area,ft2
Design Pre-school/Daycare - Gross Floor Area,ft2
Design Prison/Incarceration - Gross Floor Area,ft2
Design Race Track - Gross Floor Area,ft2
Design Refrigerated Warehouse - Gross Floor Area,ft2
"Design Repair Services (Vehicle, Shoe, Locksmith, etc) - Gross Floor Area",ft2
Design Residence Hall/Dormitory - Gross Floor Area,ft2
Design Restaurant - Gross Floor Area,ft2
Design Retail Store - Gross Floor Area,ft2
Design Roller Rink - Gross Floor Area,ft2
Design Self-Storage Facility - Gross Floor Area,ft2
Design Senior Care Community - Gross Floor Area,ft2
Design Single Family Home - Gross Floor Area,ft2
Design Social/Meeting Hall - Gross Floor Area,ft2
Design Stadium (Closed) - Gross Floor Area,ft2
Design Stadium (Open) - Gross Floor Area,ft2
Design Strip Mall - Gross Floor Area,ft2
Design Supermarket/Grocery Store - Gross Floor Area,ft2
Design Swimming Pool - Gross Floor Area,ft2
Design Transportation Terminal/Station - Gross Floor Area,ft2
Design Urgent Care/Clinic/Other Outpatient - Gross Floor Area,ft2
Design Veterinary Office - Gross Floor Area,ft2
Design Vocational School - Gross Floor Area,ft2
Design Wastewater Treatment Plant - Gross Floor Area,ft2
Design Wholesale Club/Supercenter - Gross Floor Area,ft2
Design Worship Facility - Gross Floor Area,ft2
Design Zoo - Gross Floor Area,ft2
Design PUE ,
Portfolio Manager Property ID,
Portfolio Manager Parent Property ID,
Custom Property ID 1 - Name,
Custom Property ID 1 - ID,
Custom Property ID 2 - Name,
Custom Property ID 2 - ID,
Custom Property ID 3 - Name,
Custom Property ID 3 - ID,
Austin Building ID,
Austin Property ID,
BOMA BESt Building ID,
CoStar Property ID,
District of Columbia Building Unique ID,
District of Columbia Real Property Unique ID,
Green Globes CIEB Project ID,
Green Globes NC Project ID,
LEED Canada Project ID,
LEED US Project ID,
Minneapolis Building ID,
NYC Building Identification Number (BIN),
NYC Bureau Block and Lot (BBL),
Philadelphia Building ID,
REALPac Energy Benchmarking Program Building Name,
San Francisco Building ID,
Seattle Building Energy Benchmarking Reporting ID,
State of Washington Unique Facilities Identifier (UFI),
U.S. Agency Designated Covered Facility ID,
U.S. Federal Real Property Unique Identifier ,
Property Name,
Parent Property Name,
Address 1,
Address 2,
City,
County,
State/Province,
Postal Code,
Country,
Primary Property Type - Self Selected,
Primary Property Type - EPA Calculated,
National Median Reference Property Type,
Property Floor Area (Buildngs and Parking),ft2
Property Floor Area (Building(s)),ft2
Property Floor Area (Parking),ft2
Construction Status,
Year Built,
Number of Buildings,
Occupancy,Percentage
Property Notes,
Third Party Certification,
Third Party Certification Target Date of Compliance,Date
Third Party Certification Actual Date of Compliance,Date
Date Property Last Modified,Date
Property's Portfolio Manager Account Holder,
Property's Portfolio Manager Account Holder Email,
Service and Product Provider,
Metered Areas (Energy),
Metered Areas (Water),
Cooling Degree Days (CDD),Degrees F
Heating Degree Days (HDD),Degrees F
Weather Station Name,
Weather Station ID (WMO ID),
Federal Agency/Department,
Federal Region/Subdepartment,
U.S. Federal Campus ,
Adult Education - Computer Density,"Number per 1,000 ft2"
Adult Education - Gross Floor Area,ft2
Adult Education - Number of Computers,
Adult Education - Number of Workers on Main Shift,
Adult Education - Percent That Can Be Cooled ,Percentage
Adult Education - Percent That Can Be Heated,Percentage
Adult Education - Weekly Operating Hours,
Adult Education - Worker Density,"Number per 1,000 ft2"
Ambulatory Surgical Center - Computer Density,"Number per 1,000 ft2"
Ambulatory Surgical Center - Gross Floor Area,ft2
Ambulatory Surgical Center - Number of Computers,
Ambulatory Surgical Center - Number of Workers on Main Shift,
Ambulatory Surgical Center - Percent That Can Be Cooled,Percentage
Ambulatory Surgical Center - Percent That Can Be Heated ,Percentage
Ambulatory Surgical Center - Weekly Operating Hours,
Ambulatory Surgical Center - Worker Density,"Number per 1,000 ft2"
Aquarium - Computer Density,"Number per 1,000 ft2"
Aquarium - Gross Floor Area,ft2
Aquarium - Number of Computers,
Aquarium - Number of Workers on Main Shift,
Aquarium - Percent That Can Be Cooled ,Percentage
Aquarium - Percent That Can Be Heated,Percentage
Aquarium - Weekly Operating Hours,
Aquarium - Worker Density,"Number per 1,000 ft2"
Automobile Dealership - Computer Density,"Number per 1,000 ft2"
Automobile Dealership - Gross Floor Area,ft2
Automobile Dealership - Number of Computers,
Automobile Dealership - Number of Workers on Main Shift,
Automobile Dealership - Percent That Can Be Cooled ,Percentage
Automobile Dealership - Percent That Can Be Heated,Percentage
Automobile Dealership - Weekly Operating Hours,
Automobile Dealership - Worker Density,"Number per 1,000 ft2"
Bank Branch - Computer Denisty,"Number per 1,000 ft2"
Bank Branch - Gross Floor Area,ft2
Bank Branch - Number of Computers,
Bank Branch - Number of Workers on Main Shift,
Bank Branch - Percent That Can Be Cooled,Percentage
Bank Branch - Percent That Can Be Heated,Percentage
Bank Branch - Weekly Operating Hours,
Bank Branch - Worker Density,"Number per 1,000 ft2"
Bar/Nightclub - Computer Density,"Number per 1,000 ft2"
Bar/Nightclub - Gross Floor Area,ft2
Bar/Nightclub - Number of Computers,
Bar/Nightclub - Number of Workers on Main Shift,
Bar/Nightclub - Percent That Can Be Cooled,Percentage
Bar/Nightclub - Percent That Can Be Heated,Percentage
Bar/Nightclub - Weekly Operating Hours,
Bar/Nightclub - Worker Density,"Number per 1,000 ft2"
Barracks - Dining Hall,
Barracks - Computer Lab,
Barracks - Room Density,"Number per 1,000 ft2"
Barracks- Gross Floor Area ,ft2
Barracks- Number of Rooms,
Barracks- Percent That Can Be Cooled,Percentage
Barracks- Percent That Can Be Heated,Percentage
Bowling Alley - Computer Density,"Number per 1,000 ft2"
Bowling Alley - Gross Floor Area,ft2
Bowling Alley - Number of Computers,
Bowling Alley - Number of Workers on Main Shift,
Bowling Alley - Percent That Can Be Cooled ,Percentage 
Bowling Alley - Percent That Can Be Heated,Percentage
Bowling Alley - Weekly Operating Hours,
Bowling Alley - Worker Density,"Number per 1,000 ft2"
Casino - Computer Density,"Number per 1,000 ft2"
Casino - Gross Floor Area,ft2
Casino - Number of Computers,
Casino - Number of Workers on Main Shift,
Casino - Percent That Can Be Cooled,Percentage
Casino - Percent That Can Be Heated,Percentage
Casino - Weekly Operating Hours,
Casino - Worker Density,"Number per 1,000 ft2"
College/University - Computer Density,"Number per 1,000 ft2"
College/University - Gross Floor Area,ft2
College/University - Number of Computers,
College/University - Number of Workers on Main Shift,
College/University - Percent That Can Be Cooled,Percentage
College/University - Percent That Can Be Heated ,Percentage
College/University - Weekly Operating Hours,
College/University - Worker Density,"Number per 1,000 ft2"
Convenience Store with Gas Station - Computer Density,"Number per 1,000 ft2"
Convenience Store with Gas Station - Gross Floor Area,ft2
Convenience Store with Gas Station - Number of Computers,
Convenience Store with Gas Station - Number of Workers on Main Shift,
Convenience Store with Gas Station - Percent That Can Be Cooled ,Percentage
Convenience Store with Gas Station - Percent That Can Be Heated,Percentage
Convenience Store with Gas Station - Weekly Operating Hours,
Convenience Store with Gas Station - Worker Density,"Number per 1,000 ft2"
Convenience Store without Gas Station - Computer Density,"Number per 1,000 ft2"
Convenience Store without Gas Station - Gross Floor Area,ft2
Convenience Store without Gas Station - Number of Computers,
Convenience Store without Gas Station - Number of Workers on Main Shift,
Convenience Store without Gas Station - Percent That Can Be Cooled,Percentage
Convenience Store without Gas Station - Percent That Can Be Heated,Percentage
Convenience Store without Gas Station - Weekly Operating Hours,
Convenience Store without Gas Station - Worker Density,"Number per 1,000 ft2"
Convention Center - Computer Density,"Number per 1,000 ft2"
Convention Center - Gross Floor Area,ft2
Convention Center - Number of Computers,
Convention Center - Number of Workers on Main Shift,
Convention Center - Percent That Can Be Cooled ,Percentage
Convention Center - Percent That Can Be Heated,Percentage
Convention Center - Weekly Operating Hours,
Convention Center - Worker Density,"Number per 1,000 ft2"
Courthouse - Computer Density,"Number per 1,000 ft2"
Courthouse - Gross Floor Area,ft2
Courthouse - Number of Computers,
Courthouse - Number of Workers on Main Shift,
Courthouse - Percent That Can Be Cooled,Percentage
Courthouse - Percent That Can Be Heated,Percentage
Courthouse - Weekly Operating Hours,
Courthouse - Worker Density,"Number per 1,000 ft2"
Data Center- Cooling Equipment Redundancy,
Data Center- Gross Floor Area,ft2
Data Center- IT Energy Configuration,
Data Center- UPS System Redundancy,
Distribution Center - Gross Floor Area,ft2
Distribution Center - Number of Walk-in Refrigeration/Freezer Units,
Distribution Center - Number of Workers on Main Shift ,
Distribution Center - Percent That Can Be Cooled,Percentage
Distribution Center - Percent That Can Be Heated,Percentage 
Distribution Center - Walk-in Refrigeration Density,"Number per 1,000 ft2"
Distribution Center - Weekly Operating Hours,
Distribution Center - Worker Density,"Number per 1,000 ft2"
Drinking Water Treatment & Distribuiton - Percent That Can Be Heated ,Percentage
Drinking Water Treatment & Distribution - Percent That Can Be Cooled ,Percentage
Drinking Water Treatment & Distribution - Average Flow,MGD
Drinking Water Treatment & Distribution - Computer Density ,"Number per 1,000 ft2"
Drinking Water Treatment & Distribution - Gross Floor Area,ft2
Drinking Water Treatment & Distribution - Number of Computers ,
Drinking Water Treatment & Distribution - Number of Workers on Main Shift ,
Drinking Water Treatment & Distribution - Worker Density ,"Number per 1,000 ft2"
Enclosed Mall - Computer Density,"Number per 1,000 ft2"
Enclosed Mall - Gross Floor Area,ft2
Enclosed Mall - Number of Computers,
Enclosed Mall - Number of Workers on Main Shift,
Enclosed Mall - Percent That Can Be Cooled,Percentage
Enclosed Mall - Percent That Can Be Heated ,Percentage
Enclosed Mall - Weekly Operating Hours,
Enclosed Mall - Worker Density,"Number per 1,000 ft2"
Energy/Power Station - Computer Density,"Number per 1,000 ft2"
Energy/Power Station - Gross Floor Area,ft2
Energy/Power Station - Number of Computers,
Energy/Power Station - Number of Workers on Main Shift,
Energy/Power Station - Percent That Can Be Cooled ,Percentage
Energy/Power Station - Percent That Can Be Heated,Percentage
Energy/Power Station - Weekly Operating Hours,
Energy/Power Station - Worker Density,"Number per 1,000 ft2"
Fast Food Restaurant - Computer Density,"Number per 1,000 ft2"
Fast Food Restaurant - Gross Floor Area,ft2
Fast Food Restaurant - Number of Computers,
Fast Food Restaurant - Number of Workers on Main Shift,
Fast Food Restaurant - Percent That Can Be Cooled ,Percentage
Fast Food Restaurant - Percent That Can Be Heated ,Percentage
Fast Food Restaurant - Weekly Operating Hours,
Fast Food Restaurant - Worker Density,"Number per 1,000 ft2"
Financial Office - Computer Denisty,"Number per 1,000 ft2"
Financial Office - Gross Floor Area,ft2
Financial Office - Number of Computers,
Financial Office - Number of Workers on Main Shift,
Financial Office - Percent That Can Be Cooled,Percentage
Financial Office - Percent That Can Be Heated,Percentage
Financial Office - Weekly Operating Hours,
Financial Office - Worker Density,"Number per 1,000 ft2"
Fire Station - Computer Density,"Number per 1,000 ft2"
Fire Station - Gross Floor Area,ft2
Fire Station - Number of Computers,
Fire Station - Number of Workers on Main Shift,
Fire Station - Percent That Can Be Cooled ,Percentage
Fire Station - Percent That Can Be Heated ,Percentage
Fire Station - Weekly Operating Hours,
Fire Station - Worker Density,"Number per 1,000 ft2"
Fitness Center/Health Club/Gym - Computer Density,"Number per 1,000 ft2"
Fitness Center/Health Club/Gym - Gross Floor Area,ft2
Fitness Center/Health Club/Gym - Number of Computers,
Fitness Center/Health Club/Gym - Number of Workers on Main Shift,
Fitness Center/Health Club/Gym - Percent That Can Be Cooled ,Percentage
Fitness Center/Health Club/Gym - Percent That Can Be Heated,Percentage
Fitness Center/Health Club/Gym - Weekly Operating Hours,
Fitness Center/Health Club/Gym - Worker Density,"Number per 1,000 ft2"
Food Sales - Computer Density,"Number per 1,000 ft2 "
Food Sales - Gross Floor Area,ft2
Food Sales - Number of Computers,
Food Sales - Number of Workers on Main Shift,
Food Sales - Percent That Can Be Cooled,Percentage
