CurrentSEED,NewSEED,PM1,PM2,Type,
Bank Branch - Number of Workers on Main Shift,Component Bank Workers on Main Shift Occupant Quantity,Bank Branch - Number of Workers on Main Shift,bankBranchNumberOfWorkersOnMainShift,float,
Bank Branch - Percent That Can Be Cooled,,Bank Branch - Percent That Can Be Cooled,bankBranchPercentThatCanBeCooled,float,
Bank Branch - Percent That Can Be Heated,,Bank Branch - Percent That Can Be Heated,bankBranchPercentThatCanBeHeated,float,
Bank Branch - Weekly Operating Hours,Component Bank Business Average Weekly Hours,Bank Branch - Weekly Operating Hours,bankBranchWeeklyOperatingHours,float,
"Bank Branch - Worker Density (Number per 1,000 ft2)",,"Bank Branch - Worker Density (Number per 1,000 ft2)",bankBranchWorkerDensity,float,
"Bar/Nightclub - Computer Density (Number per 1,000 ft2)",,"Bar/Nightclub - Computer Density (Number per 1,000 ft2)",barNightclubComputerDensity,float,
Bar/Nightclub - Gross Floor Area (ft2),Component Social Entertainment Gross Floor Area,Bar/Nightclub - Gross Floor Area (ft2),barNightclubGrossFloorArea,float,
Bar/Nightclub - Number of Computers,Component Social Entertainment Computer Quantity,Bar/Nightclub - Number of Computers,barNightclubNumberOfComputers,float,
Bar/Nightclub - Number of Workers on Main Shift,Component Social Entertainment Workers on Main Shift Occupant Quantity,Bar/Nightclub - Number of Workers on Main Shift,barNightclubNumberOfWorkersOnMainShift,float,
Bar/Nightclub - Weekly Operating Hours,Component Social Entertainment Business Average Weekly Hours,Bar/Nightclub - Weekly Operating Hours,barNightclubWeeklyOperatingHours,float,
"Bar/Nightclub - Worker Density (Number per 1,000 ft2)",,"Bar/Nightclub - Worker Density (Number per 1,000 ft2)",barNightclubWorkerDensity,float,
Barracks - Dining Hall,Sub-component Institutional Food Service,Barracks  - Dining Hall,barracksDiningHall,string,
Barracks - Computer Lab,Sub-component Computer Lab,Barracks - Computer Lab,barracksComputerLab,string,
"Barracks - Room Density (Number per 1,000 ft2)",,"Barracks - Room Density (Number per 1,000 ft2)",barracksRoomDensity,float,
Barracks- Gross Floor Area (ft2),Component Institutional Lodging Gross Floor Area,Barracks- Gross Floor Area (ft2),barracksGrossFloorArea,float,
Barracks- Number of Rooms,Component Institutional Lodging Guest Rooms Number of Units,Barracks- Number of Rooms,barracksNumberOfRooms,float,
Barracks- Percent That Can Be Cooled,,Barracks- Percent That Can Be Cooled,barracksPercentThatCanBeCooled,float,
Barracks- Percent That Can Be Heated,,Barracks- Percent That Can Be Heated,barracksPercentThatCanBeHeated,float,
Biomass GHG Emissions (MtCO2e),Biomass Greenhouse Gas (GHG) Emissions,Biomass GHG Emissions (Metric Tons CO2e),biomassGHGEmissions,float,
Biomass GHG Emissions Intensity (kgCO2e/ft2),Biomass Greenhouse Gas (GHG) Emissions Intensity,Biomass GHG Emissions Intensity (kgCO2e/ft2),biomassGHGEmissionsIntensity,float,
,Building BOMA BESt Building ID Idientifier Value,BOMA BESt  Building ID,,string,
,Boston Energy Reporting ID Identifier Value,Boston Energy Reporting ID,,string,
"Bowling Alley - Computer Density (Number per 1,000 ft2)",,"Bowling Alley - Computer Density (Number per 1,000 ft2)",bowlingAlleyComputerDensity,float,
Bowling Alley - Gross Floor Area (ft2),Component Recreation Gross Floor Area,Bowling Alley - Gross Floor Area (ft2),bowlingAlleyGrossFloorArea,float,
Bowling Alley - Number of Computers,Component Recreation Computer Quantity,Bowling Alley - Number of Computers,bowlingAlleyNumberOfComputers,float,
Bowling Alley - Number of Workers on Main Shift,Component Recreation Workers on Main Shift Occupant Quantity,Bowling Alley - Number of Workers on Main Shift,bowlingAlleyNumberOfWorkersOnMainShift,float,
Bowling Alley - Weekly Operating Hours,Component Recreation Business Average Weekly Hours,Bowling Alley - Weekly Operating Hours,bowlingAlleyWeeklyOperatingHours,float,
"Bowling Alley - Worker Density (Number per 1,000 ft2)",,"Bowling Alley - Worker Density (Number per 1,000 ft2)",bowlingAlleyWorkerDensity,float,
"Casino - Computer Density (Number per 1,000 ft2)",,"Casino - Computer Density (Number per 1,000 ft2)",casinoComputerDensity,float,
Casino - Gross Floor Area (ft2),Component Arcade or Casino Without Lodging Gross Floor Area,Casino - Gross Floor Area (ft2),casinoGrossFloorArea,float,
Casino - Number of Computers,Component Arcade or Casino Without Lodging Computer Quantity,Casino - Number of Computers,casinoNumberOfComputers,float,
Casino - Number of Workers on Main Shift,Component Arcade or Casino Without Lodging Workers on Main Shift Occupant Quantity,Casino - Number of Workers on Main Shift,casinoNumberOfWorkersOnMainShift,float,
Casino - Weekly Operating Hours,Component Arcade or Casino Without Lodging Business Average Weekly Hours,Casino - Weekly Operating Hours,casinoWeeklyOperatingHours,float,
"Casino - Worker Density (Number per 1,000 ft2)",,"Casino - Worker Density (Number per 1,000 ft2)",casinoWorkerDensity,float,
,Chicago Energy Benchmarking ID Identifier Value,Chicago Energy Benchmarking ID,,string,
Premises City,Premises City,City,,string,
Coal - Anthracite Use (kBtu),Coal (Anthracite) kBtu Resource Use,Coal - Anthracite Use (kBtu),siteEnergyUseCoalAnthracite,float,
Coal - Bituminous Use (kBtu),Coal (Bituminous) kBtu Resource Use,Coal - Bituminous Use (kBtu),siteEnergyUseCoalBituminous,float,
Coal (anthracite) Cost ($),Coal (Anthracite) Resource Cost,Coal (anthracite) Cost ($),energyCostCoalAnthracite,float,
Coal (bituminous) Cost ($),Coal (Bituminous) Resource Cost,Coal (bituminous) Cost ($),energyCostCoalBituminous,float,
Coke Cost ($),Coke Resource Cost,Coke Cost ($),energyCostCoke,float,
Coke Use (kBtu),Coke kBtu Resource Use,Coke Use (kBtu),siteEnergyUseCoke,float,
"College/University - Computer Density (Number per 1,000 ft2)",,"College/University - Computer Density (Number per 1,000 ft2)",collegeUniversityComputerDensity,float,
College/University - Enrollment,Component Higher Education Registered Students Occupant Quantity,College/University - Enrollment,collegeUniversityEnrollment,float,
College/University - Grant Dollars ($),Component Higher Education Custom Grant Funding Level,College/University - Grant Dollars ($),collegeUniversityGrantDollars,float,
College/University - Gross Floor Area (ft2),Component Higher Education Gross Floor Area,College/University - Gross Floor Area (ft2),collegeUniversityGrossFloorArea,float,
College/University - Number of Computers,Component Higher Education Computer Quantity,College/University - Number of Computers,collegeUniversityNumberOfComputers,float,
College/University - Number of Workers on Main Shift,Component Higher Education Workers on Main Shift Occupant Quantity,College/University - Number of Workers on Main Shift,collegeUniversityNumberOfWorkersOnMainShift,float,
College/University - Weekly Operating Hours,Component Higher Education Business Average Weekly Hours,College/University - Weekly Operating Hours,collegeUniversityWeeklyOperatingHours,float,
"College/University - Worker Density (Number per 1,000 ft2)",,"College/University - Worker Density (Number per 1,000 ft2)",collegeUniversityWorkerDensity,float,
Construction Status,Construction Status,Construction Status,,string,
"Convenience Store with Gas Station - Computer Density (Number per 1,000 ft2)",,"Convenience Store with Gas Station - Computer Density (Number per 1,000 ft2)",convenienceStoreWithGasStationComputerDensity,float,
Convenience Store with Gas Station - Gross Floor Area (ft2),Component Gas Station Gross Floor Area,Convenience Store with Gas Station - Gross Floor Area (ft2),convenienceStoreWithGasStationGrossFloorArea,float,
Convenience Store with Gas Station - Number of Computers,Component Gas Station Computer Quantity,Convenience Store with Gas Station - Number of Computers,convenienceStoreWithGasStationNumberOfComputers,float,
Convenience Store with Gas Station - Number of Workers on Main Shift,Component Gas Station Workers on Main Shift Occupant Quantity,Convenience Store with Gas Station - Number of Workers on Main Shift,convenienceStoreWithGasStationNumberOfWorkersOnMainShift,float,
Convenience Store with Gas Station - Weekly Operating Hours,Component Gas Station Business Average Weekly Hours,Convenience Store with Gas Station - Weekly Operating Hours,convenienceStoreWithGasStationWeeklyOperatingHours,float,
"Convenience Store with Gas Station - Worker Density (Number per 1,000 ft2)",,"Convenience Store with Gas Station - Worker Density (Number per 1,000 ft2)",convenienceStoreWithGasStationWorkerDensity,float,
"Convenience Store without Gas Station - Computer Density (Number per 1,000 ft2)",,"Convenience Store without Gas Station - Computer Density (Number per 1,000 ft2)",convenienceStoreWithoutGasStationComputerDensity,float,
Convenience Store without Gas Station - Gross Floor Area (ft2),Component Convenience Store Gross Floor Area,Convenience Store without Gas Station - Gross Floor Area (ft2),convenienceStoreWithoutGasStationGrossFloorArea,float,
Convenience Store without Gas Station - Number of Computers,Component Convenience Store Computer Quantity,Convenience Store without Gas Station - Number of Computers,convenienceStoreWithoutGasStationNumberOfComputers,float,
Convenience Store without Gas Station - Number of Workers on Main Shift,Component Convenience Store Workers on Main Shift Occupant Quantity,Convenience Store without Gas Station - Number of Workers on Main Shift,convenienceStoreWithoutGasStationNumberOfWorkersOnMainShift,float,
Convenience Store without Gas Station - Weekly Operating Hours,Component Convenience Store Business Average Weekly Hours,Convenience Store without Gas Station - Weekly Operating Hours,convenienceStoreWithoutGasStationWeeklyOperatingHours,float,
"Convenience Store without Gas Station - Worker Density (Number per 1,000 ft2)",,"Convenience Store without Gas Station - Worker Density (Number per 1,000 ft2)",convenienceStoreWithoutGasStationWorkerDensity,float,
"Convention Center - Computer Density (Number per 1,000 ft2)",,"Convention Center - Computer Density (Number per 1,000 ft2)",conventionCenterComputerDensity,float,
Convention Center - Gross Floor Area (ft2),Component Convention Center Gross Floor Area,Convention Center - Gross Floor Area (ft2),conventionCenterGrossFloorArea,float,
Convention Center - Number of Computers,Component Convention Center Computer Quantity,Convention Center - Number of Computers,conventionCenterNumberOfComputers,float,
Convention Center - Number of Workers on Main Shift,Component Convention Center Workers on Main Shift Occupant Quantity,Convention Center - Number of Workers on Main Shift,conventionCenterNumberOfWorkersOnMainShift,float,
Convention Center - Weekly Operating Hours,Component Convention Center Business Average Weekly Hours,Convention Center - Weekly Operating Hours,conventionCenterWeeklyOperatingHours,float,
"Convention Center - Worker Density (Number per 1,000 ft2)",,"Convention Center - Worker Density (Number per 1,000 ft2)",conventionCenterWorkerDensity,float,
Cooling Degree Days (CDD) (�F),Cooling Degree Days (CDD),Cooling Degree Days (CDD) (�F),coolingDegreeDaysCDD,float,
,Premises CoStar Property ID Identifier Value,CoStar Property ID,,string,
Country,Country,Country,,string,
County,County,County,,string,
"Courthouse - Computer Density (Number per 1,000 ft2)",,"Courthouse - Computer Density (Number per 1,000 ft2)",courthouseComputerDensity,float,
Courthouse - Gross Floor Area (ft2),Component Courthouse Gross Floor Area,Courthouse - Gross Floor Area (ft2),courthouseGrossFloorArea,float,
Courthouse - Number of Computers,Component Courthouse Computer Quantity,Courthouse - Number of Computers,courthouseNumberOfComputers,float,
Courthouse - Number of Workers on Main Shift,Component Courthouse Workers on Main Shift Occupant Quantity,Courthouse - Number of Workers on Main Shift,courthouseNumberOfWorkersOnMainShift,float,
Courthouse - Percent That Can Be Cooled,,Courthouse - Percent That Can Be Cooled,courthousePercentThatCanBeCooled,float,
Courthouse - Percent That Can Be Heated,,Courthouse - Percent That Can Be Heated,courthousePercentThatCanBeHeated,float,
Courthouse - Weekly Operating Hours,Component Courthouse Business Average Weekly Hours,Courthouse - Weekly Operating Hours,courthouseWeeklyOperatingHours,float,
"Courthouse - Worker Density (Number per 1,000 ft2)",,"Courthouse - Worker Density (Number per 1,000 ft2)",courthouseWorkerDensity,float,
Premises Custom ID,Premises Custom ID,Custom Property ID 1 - ID,,string,
,,Custom Property ID 1 - Name,,string,
,,Custom Property ID 2 - ID,,string,
,,Custom Property ID 2 - Name,,string,
,,Custom Property ID 3 - ID,,string,
,,Custom Property ID 3 - Name,,string,
Data Center - Cooling Equipment Redundancy,Component Data Center Cooling Equipment Redundancy,Data Center - Cooling Equipment Redundancy,dataCenterCoolingEquipmentRedundancy,string,
Data Center - Gross Floor Area (ft2),Component Data Center Gross Floor Area,Data Center - Gross Floor Area (ft2),dataCenterGrossFloorArea,float,
Data Center - IT Energy Configuration,Component Data Center IT Energy Configuration for Data Center,Data Center - IT Energy Configuration,dataCenterItEnergyConfiguration,string,
Data Center - IT Equipment Input Site Energy (kWh),Data Center IT Equipment Input Site Energy Energy Use,Data Center - IT Equipment Input Site Energy (kWh),dataCenterITEquipmentInputSiteEnergy,float,
Data Center - IT Site Energy (kWh),Data Center Site IT kWh Energy Use,Data Center - IT Site Energy (kWh),dataCenterITSiteEnergy,float,
Data Center - IT Source Energy (kBtu),Data Center Source IT kBtu Energy Use,Data Center - IT Source Energy (kBtu),dataCenterITSourceEnergy,float,
Data Center - National Median PUE,National Median Data center Power Usage Effectiveness Efficiency Value,Data Center - National Median PUE,dataCenterPUEMedian,float,
Data Center - PDU Input Site Energy (kWh),Data Center Power Distribution Unit (PDU) Input Energy Energy Use,Data Center - PDU Input Site Energy (kWh),dataCenterPDUInputSiteEnergy,float,
Data Center - PDU Output Site Energy (kWh),Data Center Power Distribution Unit (PDU) Output Site Energy energy Use,Data Center - PDU Output Site Energy (kWh),dataCenterPDUOutputSiteEnergy,float,
Data Center - PUE,Data Center Power Usage Effectiveness Efficiency Value,Data Center - PUE,dataCenterSourcePUE,float,
Data Center - UPS Output Site Energy (kWh),Data center UPS Output Site Energy Energy Use,Data Center - UPS Output Site Energy (kWh),dataCenterUPSOutputSiteEnergy,float,
Data Center - UPS System Redundancy,Component Data Center UPS Sytem Redundancy,Data Center - UPS System Redundancy,dataCenterUpsSystemRedundancy,string,
Date Property Last Modified,Rating Last Approval Date,Date Property Last Modified,,date,
,Bank Derivation Method Default,Default Data Flag - Bank Branch,defaultDataFlagBankBranch,string,
,Institutional Lodging Derivation Method Default,Default Data Flag - Barracks,defaultDataFlagBarracks,string,
,Courthouse Derivation Method Default,Default Data Flag - Courthouse,defaultDataFlagCourthouse,string,
,Data Center Derivation Method Default,Default Data Flag - Data Center,defaultDataFlagDataCenter,string,
,Non-refrigerated Warehouse Derivation Method Default,Default Data Flag - Distribution Center,defaultDataFlagDistributionCenter,string,
,Office Derivation Method Default,Default Data Flag - Financial Office,defaultDataFlagFinancialOffice,string,
,Inpatient Hospital Derivation Method Default,Default Data Flag - Hospital (General Medical & Surgical),defaultDataFlagHospitalGeneralMedicalSurgical,string,
,Lodging with Extended Amenities Derivation Method Default,Default Data Flag - Hotel,defaultDataFlagHotel,string,
,Education Derivation Method Default,Default Data Flag - K-12 School,defaultDataFlagK12School,string,
,Outpatient Non-diagnostic Derivation Method Default,Default Data Flag - Medical Office,defaultDataFlagMedicalOffice,string,
,Non-refrigerated Warehouse Derivation Method Default,Default Data Flag - Non-Refrigerated Warehouse,defaultDataFlagNonrefrigeratedWarehouse,string,
,Office Derivation Method Default,Default Data Flag - Office,defaultDataFlagOffice,string,
,Refrigerated Warehouse Derivation Method Default,Default Data Flag - Refrigerated Warehouse,defaultDataFlagRefrigeratedWarehouse,string,
,Institutional Lodging Derivation Method Default,Default Data Flag - Residence Hall/Dormitory,defaultDataFlagResidenceHallDormitory,string,
,Dry goods Retail Derivation Method Default,Default Data Flag - Retail Store,defaultDataFlagRetailStore,string,
,Skilled Nursing Facility Derivation Method Default,Default Data Flag - Senior Care Community,defaultDataFlagSeniorCareCommunity,string,
,Grocery Store Derivation Method Default,Default Data Flag - Supermarket/Grocery Store,defaultDataFlagSupermarketGroceryStore,string,
,Wastewater Treatment Plant Derivation Method Default,Default Data Flag - Wastewater Treatment Plant,defaultDataFlagWastewaterTreatmentPlant,string,
,Hypermarket Derivation Method Default,Default Data Flag - Wholesale Club/Supercenter,defaultDataFlagWholesaleClubSupercenter,string,
,Religious Congregation Derivation Method Default,Default Data Flag - Worship Facility,defaultDataFlagWorshipFacility,string,
Design Adult Education - Gross Floor Area (ft2),Higher Education Design Files Gross Floor Area,Design Adult Education - Gross Floor Area (ft2),,float,
Design Ambulatory Surgical Center - Gross Floor Area (ft2),Outpatient Surgical Design Files Gross Floor Area,Design Ambulatory Surgical Center - Gross Floor Area (ft2),,float,
Design Aquarium - Gross Floor Area (ft2),Vivarium Design Files Gross Floor Area,Design Aquarium - Gross Floor Area (ft2),,float,
Design Automobile Dealership - Gross Floor Area (ft2),Dry Goods Retail Design Files Gross Floor Area,Design Automobile Dealership - Gross Floor Area (ft2),,float,
Design Bank Branch - Gross Floor Area (ft2),Bank Design Files Gross Floor Area,Design Bank Branch - Gross Floor Area (ft2),,float,
Design Bar/Nightclub - Gross Floor Area (ft2),Social Entertainment Design Files Gross Floor Area,Design Bar/Nightclub - Gross Floor Area (ft2),,float,
Design Barracks - Gross Floor Area (ft2),Institutional Lodging Design Files Gross Floor Area,Design Barracks  - Gross Floor Area (ft2),,float,
Design Biomass GHG Emissions (MtCO2e),Design Target Biomass Greenhouse Gas (GHG) Emissions,Design Biomass GHG Emissions (Metric Tons CO2e),designBiomassGHGEmissions,float,
Design Bowling Alley - Gross Floor Area (ft2),Recreation Design Files Gross Floor Area,Design Bowling Alley - Gross Floor Area (ft2),,float,
Design Casino - Gross Floor Area (ft2),Arcade or Casino Without Lodging Design Files Gross Floor Area,Design Casino - Gross Floor Area (ft2),,float,
Design Coal - Anthracite Use (kBtu),Coal (anthracite) kBtu Design Target Resource Use,Design Coal - Anthracite Use (kBtu),,float,
Design Coal - Bituminous Use (kBtu),Coal (bituminous) kBtu Design Target Resource Use,Design Coal - Bituminous Use (kBtu),,float,
Design Coke Use (kBtu),Coke kBtu Design Target Resource Use,Design Coke Use (kBtu),,float,
Design College/University - Gross Floor Area (ft2),Higher Education Design Files Gross Floor Area,Design College/University - Gross Floor Area (ft2),,float,
Design Convenience Store with Gas Station - Gross Floor Area (ft2),Convenience store Design Files Gross Floor Area,Design Convenience Store with Gas Station - Gross Floor Area (ft2),,float,
Design Convenience Store without Gas Station - Gross Floor Area (ft2),Gas Station Design Files Gross Floor Area,Design Convenience Store without Gas Station - Gross Floor Area (ft2),,float,
Design Convention Center - Gross Floor Area (ft2),Convention Center Design Files Gross Floor Area,Design Convention Center - Gross Floor Area (ft2),,float,
Design Courthouse - Gross Floor Area (ft2),Courthouse Design Files Gross Floor Area,Design Courthouse - Gross Floor Area (ft2),,float,
Design Data Center - Gross Floor Area (ft2),Data center Design Files Gross Floor Area,Design Data Center - Gross Floor Area (ft2),,float,
Design Diesel #2 Use (kBtu),Diesel kBtu Design Target Resource Use,Design Diesel #2 Use (kBtu),,float,
Design Direct GHG Emissions (MtCO2e),Design Target Direct Greenhouse Gas (GHG) Emissions,Design Direct GHG Emissions (Metric Tons CO2e),designDirectGHGEmissions,float,
Design Distribution Center - Gross Floor Area (ft2),Non-refrigerated Warehouse Design Files Gross Floor Area,Design Distribution Center - Gross Floor Area (ft2),,float,
Design District Hot Water Use (kBtu),District Hot Water kBtu Design Target Resource Use,Design District Hot Water Use (kBtu),,float,
Design District Steam Use (kBtu),District Steam kBtu Design Target Resource Use,Design District Steam Use (kBtu),,float,
Design Drinking Water Treatment & Distribution - Gross Floor Area (ft2),Drinking Water Treatment and Distribution Design Files Gross Floor Area,Design Drinking Water Treatment & Distribution - Gross Floor Area (ft2),,float,
Design Electricity Use - Grid Purchase (kBtu),Electricity kBtu Utility provided Design Target Resource Use,Design Electricity Use - Grid Purchase (kBtu),,float,
Design Enclosed Mall - Gross Floor Area (ft2),Enclosed Mall Design Files Gross Floor Area,Design Enclosed Mall - Gross Floor Area (ft2),,float,
Design Energy Cost ($),Design Target Energy Cost,Design Energy Cost ($),designEnergyCost,float,
Design Energy Cost Intensity ($/ft2),Design Target Energy Cost Intensity,Design Energy Cost Intensity ($/ft2),designEnergyCostIntensity,float,
Design ENERGY STAR Score,Design Files ENERGY STAR Score Assessment Metric Value,Design ENERGY STAR Score,designScore,float,
Design Energy/Power Station - Gross Floor Area (ft2),Energy Generation Plant Design Files Gross Floor Area,Design Energy/Power Station - Gross Floor Area (ft2),,float,
Design Fast Food Restaurant - Gross Floor Area (ft2),Fast Food Service Design Files Gross Floor Area,Design Fast Food Restaurant - Gross Floor Area (ft2),,float,
Design Financial Office - Gross Floor Area (ft2),Office Design Files Gross Floor Area,Design Financial Office - Gross Floor Area (ft2),,float,
Design Fire Station - Gross Floor Area (ft2),Public Safety Station Design Files Gross Floor Area,Design Fire Station - Gross Floor Area (ft2),,float,
Design Fitness Center/Health Club/Gym - Gross Floor Area (ft2),Fitness Center Design Files Gross Floor Area,Design Fitness Center/Health Club/Gym - Gross Floor Area (ft2),,float,
Design Food Sales - Gross Floor Area (ft2),Food Sales Design Files Gross Floor Area,Design Food Sales - Gross Floor Area (ft2),,float,
Design Food Service - Gross Floor Area (ft2),Food Service Design Files Gross Floor Area,Design Food Service - Gross Floor Area (ft2),,float,
Design Fuel Oil #1 Use (kBtu),Fuel Oil No-1 kBtu Design Target Resource Use,Design Fuel Oil #1 Use (kBtu),,float,
Design Fuel Oil #2 Use (kBtu),Fuel Oil No-2 kBtu Design Target Resource Use,Design Fuel Oil #2 Use (kBtu),,float,
Design Fuel Oil #4 Use (kBtu),Fuel Oil No-4 kBtu Design Target Resource Use,Design Fuel Oil #4 Use (kBtu),,float,
