Entity Name,Attribute Name,Description and Unit,Temp Name,Unit,Enum Entries,Data Type,Priority
,Residential Facility Type,Type of residential facility.,ResidentialFacilityTypeEnum,,Single Family - Uncategorized; Single Family - Attached; Single Family - Detached; Manufactured Home; 2-4 Unit Building; 5+ Unit Building; Multifamily - Uncategorized; Multifamily - Town Homes; Multifamily - Condominiums; Apartment Unit; Other; Unknown,ENUM,1
,Year Completed,Year in which construction was completed.,YearCompleted,,,int,1
,Year Occupied,Year in which the facility was first occupied.,YearOccupied,,,int,1
,Operator Type,Entity responsible for the operation of the facility.,OperatorTypeEnum,,Owner; Occupant; Property Management Company; Other corporation/partnership/LLC; Religious organization; Other non-profit organization; Privately-owned school; Individual owner; Other nongovernment owner; Government; Federal government; State government; Local government; Other Or Combination; Unknown,ENUM,2
,Surroundings,Structure(s) surrounding the facility. ,SurroundingsEnum,,Stand-alone; Attached to another building on one side; Attached to another building on two sides; Attached to another building on three sides; Within a building; Unknown,ENUM,2
,Orientation,Orientation of the main long axis.,OrientationEnum,,East-West; North-South; North East-South West; North West-South East; Not Applicable,ENUM,2
,Building Footprint Area,"Total area of a lot or site that is surrounded by the exterior walls of a building or portion of a building, exclusive of courtyards. [square feet]",BuildingFootprintArea,,,double,2
,Footprint Shape,General shape of building footprint.,FootPrintShapeEnum,,Rectangular; Square; Circular; L-Shaped; U-Shaped; I-Shaped; V-Shaped; T-Shape; Other; Unknown,ENUM,2
,Perimeter,Length of a line forming the boundary around the facility. [feet],Perimeter,,,double,2
,Gross Floor Area,"Total floor area of all floors of a building calculated with the external dimensions of the enclosing fixed walls of the building including structures, partitions, corridors, stairs, and conditioned below-grade spaces. Note: All parking areas (enclosed and non-enclosed) should be excluded; atrium should only include the base floor area that it occupies. [square feet]",GrossFloorArea,,,double,1
,Net Floor Area,"Gross floor area of a building, excluding the area occupied by walls and partitions, the circulation area (where people walk), and the mechanical area (where there is mechanical equipment)  i.e. gross floor area reduced by the area for structural components. [square feet]",NetFloorArea,,,double,2
,Rentable Floor Area,Floor area that is being rented or is for rent. [square feet],RentableFloorArea,,,double,2
,Occupied Floor Area,Floor area that is currently occupied or assigned. [square feet],OccupiedFloorArea,,,double,2
,Percentage Of Common Space,Percent of gross floor area that is common space only.,PercentageOfCommonSpace,,,double,2
,Lighted Floor Area,Floor area of all spaces that are lit artificially. [square feet],LightedFloorArea,,,double,2
,Heated Floor Area,Floor area of all heated spaces in the activity area. [square feet],HeatedFloorArea,,,double,2
,Cooled Floor Area,Floor area of all spaces that are cooled. [square feet],CooledFloorArea,,,double,2
,Unconditioned Floor Area,Floor area of a building that is neither heated nor cooled. [square feet],UnconditionedFloorArea,,,double,2
,Basement Floor Area,Basement refers to an enclosed space under all or part of the building in which a person can walk upright.,BasementFloorArea,,,double,3
,Basement Heated Floor Area,Area of heated enclosed space under all or part of the building in which a person can walk upright. [square feet],BasementHeatedFloorArea,,,double,2
,Basement Cooled Floor Area,Area of cooled floors pace that is enclosed under all or part of the building in which a person can walk upright. [square feet],BasementCooledFloorArea,,,double,2
,Attic Floor Area,Attic refers to floor consisting of open space at the top of a house just below roof; often used for storage. [square feet],AtticFloorArea,,,double,1
,Attic Heated Floor Area,Area of heated floor space consisting of open space at the top of a house just below roof; often used for storage. [square feet],AtticHeatedFloorArea,,,double,2
,Attic Cooled Floor Area,Area of cooled floor space consisting of open space at the top of a house just below roof; often used for storage. [square feet],AtticCooledFloorArea,,,double,2
,Garage Floor Area,"Garage refers to a space large enough to accommodate a car, with a door opening at least 6 feet wide and 7 feet high. [square feet]",GarageFloorArea,,,double,1
,Garage Heated Floor Area,"Area of heated space large enough to accommodate a car, with a door opening at least 6 feet wide and 7 feet high. [square feet]",GarageHeatedFloorArea,,,double,2
,Garage Cooled Floor Area,"Area of cooled floor space large enough to accommodate a car, with a door opening at least 6 feet wide and 7 feet high. [square feet]",GarageCooledFloorArea,,,double,2
,Volume,Volume of a building measured by its external dimensions. [cubic feet],Volume,,,double,2
,Conditioned Building Volume,Heated or cooled air volume of a building. [cubic feet],ConditionedBuildingVolume,,,double,2
,Number Of Dwelling Units,Number of individual units in a multifamily facility.,NumberOfDwellingUnits,,,int,1
,Aspect Ratio,The ratio of the facility's width to its length.,AspectRatio,,,double,2
,Number of Floors,Number of floors in the facility or actvity area.,NumberOfFloors,,,int,2
,Floors Above Ground,Number of floors which are above ground.,FloorsAboveGround,,,int,2
,Floors Below Ground,Number of floors which are underground pertaining to the activity area.,FloorsBelowGround,,,int,2
,Number Of Residents,Number of residents in the facility.,NumberOfResidents,,,int,2
,Number Of Bedrooms,"Bedroom refers to a room intended for sleeping, even if not presently used for sleeping. The number of bedrooms are those that would be listed as descriptive of the apartment or house if it were on the market for sale or rent. A one-room efficiency or studio apartment has no bedrooms.",NumberOfBedrooms,,,int,2
,Number Of Complete Baths,"Complete bath refers to a full bathroom that contains a sink with running water, a flush toilet, and a bathtub or shower. ",NumberOfCompleteBaths,,,int,2
,Number Of Half Baths,Half bath refers to a bathroom which contains a toilet or bathtub or shower.,NumberOfHalfBaths,,,int,2
,Number Of Rooms,"Rooms refers to subdivisions of a housing unit. Whole rooms are rooms such as living rooms, dining rooms, bedrooms, kitchens, lodgers' rooms, finished basements or attic rooms, recreation rooms, and permanently enclosed sun porches that are used year round. Rooms used for offices by a person living in the unit are included. Not considered to be rooms  are bathrooms, halls, foyers or vestibules, balconies, closets, alcoves, pantries, strip or pullman kitchens, laundry or furnace rooms, unfinished attics or basements, open porches, and unfinished space used for storage. A partially divided room, such as a dinette next to a kitchen or a living room, is considered a separate room only if there is a partition from floor to ceiling--but not if the partition consists solely of shelves or cabinets. If a room is used by occupants of more than one unit, the room is included with the unit from which it is most easily reached.",NumberOfRooms,,,int,2
,Building Certification Type,"Building energy labeling, rating, or sustainability certification obtained. (Multiple instances of this field)",BuildingCertificationTypeEnum,,ASHRAE Building EQ; CMP Green Value Score; EPA ENERGY STAR Rating; EPA ENERGY STAR Label; Green Globes Rating; USGBC LEED Certification for New Construction & Major Renovation (NC); USGBC LEED Certification for Core & Shell Development (CS); USGBC LEED Certification for Commercial Interiors (CI); USGBC LEED Certification For Existing Buildings: Operations & Management (EBOM); USGBC LEED Certification for Retail; USGBC LEED Certification for Schools; USGBC LEED Certification for Healthcare; USGBC LEED Certification Neighborhood Development (ND); USGBC LEED Certification for Homes; Certified; Not Certified; Unknown,ENUM,1
,Building Certification Value,"Value specifying building certification, e.g. score or level. (Multiple instances of this field)",BuildingCertificationValue,,,string,1
,Certification Year,Year the facility earned certification. (Multiple instances of this field),CertificationYear,,,int,1
,Year Of Last Remodel,Year of the most recent remodel.,YearOfLastRemodel,,,int,2
,Facility Number,Number for the specific facility (out of total for site).,FacilityNumber,,,string,3
,Year Completed Range,"If exact year of construction completion is unknown, this is a range.",YearCompletedRange,,,string,3
,Number Of Floor Plans,Number of floor plans in a multi-family facility.,NumberOfFloorPlans,,,int,3
,Floor Plan Type,Floor plan type. There may be as many types as number of different floor plans.,FloorPlanTypeEnum,,Studio; 1 Bed/1 Bath; 1 Bed/1+ Bath; 2 Bed/1 Bath; 2 Bed/1+ Bath; 3+ Bed/1+ Bath; Other; Unknown,ENUM,3
,Number Of Units Per Floor Plan,Number of units with floor plan specified in Floor Plan Type.,NumberOfUnitsperFloorPlan,,,int,3
,Facility Tax Floor Area,The floor area for the facility as defined by the tax records. [square feet],FacilityTaxFloorArea,,,double,3
,Enclosed Floor Area,Floor area of all spaces enclosed by walls. [square feet],EnclosedFloorArea,,,double,3
,Conditioned Floor Area,Floor area of all spaces that are either heated or cooled. [square feet],ConditionedFloorArea,,,double,3
,Semi-conditioned Floor Area,Partially heated or air-conditioned floor area of a building. [sq. ft.],SemiConditionedFloorArea,,,double,3
,Heated Only Floor Area,Floor area of all spaces that are only heated. [square feet],HeatedOnlyFloorArea,,,double,3
,Cooled Only Floor Area,Floor area of all spaces that are only cooled. [square feet],CooledOnlyFloorArea,,,double,3
,Heated And Cooled Floor Area,Floor area of all spaces that are both heated and cooled.,HeatedAndCooledFloorArea,,,double,3
,Non-Enclosed Floor Area (w/roof),Floor area of all spaces that are not enclosed by walls but do have a roof. [square feet],NonEnclosedFloorAreaWithRoof,,,double,3
,Open Floor Area (w/o roof),Floor area of all spaces that are not enclosed by walls and do not have roofs. [square feet],OpenFloorAreaWithoutRoof,,,double,3
,Facility Height,Height of the facility. [feet],FacilityHeight,,,double,3
,Floor-to-Floor Height,"Average height of the floor(s), measured from floor to floor/ceiling. [feet]",FloortoFloorHeight,,,double,3
,Number Of Floors In Housing Unit,"Number of floors in unit, which is part of a building.",NumberOfFloorsInHousingUnit,,,int,3
,Number Of Conditioned Floors,Number of conditioned floors above ground.,NumberOfConditionedFloors,,,int,3
,Number Of Conditioned Floors Above Ground,Number of floors that are conditioned and are above ground.,NumberOfConditionedFloorsAboveGround,,,int,3
,Numbers Of Conditioned Floors Below Ground,Number of floors that are conditioned and are below ground.,NumbersOfConditionedFloorsBelowGround,,,int,3
,Household Type,The type of household consisting of persons who are permanently resident in the same dwelling unit.,HouseholdTypeEnum,,Family household; Married couple without children; Male householder without spouse; Female householder without spouse; Nonfamily household; Single male; Single female; Other; Unknown,ENUM,3
,Ownership Status,"The relationship of a housing unit's occupants to the structure itself, not the land on which the structure is located.",OwnershipStatusEnum,,Own or Buying; Renting; Occupying without payment of rent; Other Or Combination; Unknown,ENUM,3
,Government Subsidized Housing,"True if multifamily property receives affordable public local, state or federal subsidies, false otherwise.",GovernmentSubsidizedHousing,,,boolean,3
,Occupant Income Range,Annual income of the household occupants.,OccupantIncomeRangeEnum,,Lowest Fifth; Second Fifth; Middle Fifth; Fourth Fifth; Highest Fifth; Top 5%; Other Or Combination; Unknown,ENUM,3
,Occupant Education,Highest education level of the household occupants.,OccupantEducationEnum,,No High School; Some High School; High School Graduate; Some College; Vocational/Technical/Associates Degree; Bachelor's Degree; Some Post Graduate; Master's Degree; Professional Degree; Doctoral Degree; Other Or Combination; Unknown,ENUM,3
,Resident Population Type,This is a descriptor used to identify multifamily housing that may be marketed to and/or dedicated for specific resident populations. Applies to the majority (more than 50%) of the residents.,ResidentPopulationTypeEnum,,Student; Military; Senior or Independent Living; Special Accessibility Needs; Other Or Combination; Unknown,ENUM,3
,Number Of Adults,Number of persons age 18 or older residing in the residence.,NumberOfAdults,,,int,3
,Number Of Children,Number of persons under the age of 18 residing in the residence. ,NumberOfChildren,,,int,3
,Number Of Non-bedrooms,Non-bedrooms refers to rooms not intended for sleeping.,NumberOfNonBedrooms,,,int,3
,Facility ID,The unique facility identifier.,FacilityID,,,string,4
,Facility Name,Name of the facility.,FacilityName,,,string,4
,Address Field 1,Street Address or other address field.,AddressField1,,,string,4
,Address Field 2,Street Address or other address field.,AddressField2,,,string,4
,Owner Name,Owner of the facility.,OwnerName,,,string,4
,Facility Contact,Primary contact for the facility.,FacilityContact,,,string,4
,Owner Address 1,Street Address or other address field.,AddressOwnerField1,,,string,4
,Owner Address 2,Street Address or other address field.,AddressOwnerField2,,,string,4
,Owner City,The city in which the site is located.,City,,,string,1
,Owner State,The state in which the site is located.,StateEnum,,DC; AS; GU; CM; PR; VI; PTR; AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RI; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,ENUM,1
,Owner Postal Code,The postal code in which the site is located.,PostalCode,,,string,1
,Owner Phone Number,"Home phone number of residential facility owner, if appropriate.",OwnerPhoneNumber,,,string,4
,Facility Phone,Phone number to reach primary property contact.,FacilityPhone,,,string,4
,Facility E-Mail Address,E-mail to reach primary property contact.,FacilityEMailAddress,,,string,4
,Property Management Company,Company name managing the property.,PropertyManagementCompany,,,string,4
,Property Management Address,Address of the property management company.,PropertyManagementAddress,,,string,4
,Property Management Contact,Name of primary contact for the property management company.,PropertyManagementContact,,,string,4
,Property Management Phone,Phone number of property management company.,PropertyManagementPhone,,,string,4
,Property Management E-Mail Address,E-mail address for property management company.,PropertyManagementEMailAddress,,,string,4
,Agency,"Federal agency, required to designate a facility as a federal property in Portfolio Manager.",Agency,,,string,4
,Department Or Region,"Federal department/region, required to designate a facility as a federal property in Portfolio Manager.",DepartmentOrRegion,,,string,4
,PM Unique Building Identifier,Portfolio Manager Building identifier,PMUniqueBuildingIdentifier,,,string,4
,Year PM Benchmarked,Full year prior to Audit that the building was benchmarked in Portfolio Manager. [year],YearPMBenchmarked,,,int,4
,Federal Real Property ID,"Federal real property ID, required to designate a facility as a federal property in Portfolio Manager.",FederalRealPropertyID,,,string,4
,Administrator,Designates this Portfolio Manager account as administrator over other customer accounts.,Administrator,,,boolean,4
,Shared By,Designates the original Portfolio Manager account who has shared this facility data.,SharedBy,,,string,4
,PM Last Modified Date,Last date of Portfolio Manager data entry.,PMLastModifiedDate,,,date,4
,Eligibility For ENERGYSTAR,Indicator signifying whether or not a facility is eligible for the ENERGY STAR Label.,EligibilityForENERGYSTAR,,,boolean,4
,ENERGYSTAR Application Status,Status of Statement of Energy Perfromance (SEP) and ENERGY STAR application.,ENERGYSTARApplicationStatusEnum,,Application  has not yet been started; No SEP has been generated; SEP has been generated; SEP Expired; Application Submitted to EPA; Pending EPA receipt; Pending EPA decicion; Application on hold; Application Approved; Application expired,ENUM,4
,Space Use Alerts,Portfolio Manger alerting that space types within the same facility are incompatible.,SpaceUseAlerts,,,string,4
,Year Or Years Labeled,The year or years in which the facility was ENERGY STAR Labeled.,YearOrYearsLabeled,,,int,4
,Approval Date Last ENERGYSTAR,The period ending date associated with last (i.e. most recent) ENERGY STAR Label received.,ApprovalDateLastENERGYSTAR,,,date,4
,Baseline Rating,"A facility's baseline estimated energy use rating, as calculated by Portfolio Manager.",BaselineRating,,,int,4
,Target Rating,ENERGY STAR target rating selected by Portfolio Manager user.,TargetRating,,,int,4
,Building Profile Status,The status of the building profile submission process for Portfolio Manager.,BuildingProfileStatusEnum,,Draft; Received; Under Review; On Hold; Reviewed and Approved; Reviewed and Not Approved,ENUM,4
,Federal Sustainability Checklist Completion Percentage,Percentage of the Federal High Performance Sustainability Checklist that has been completed for federal building in Portfolio Manager. ,FederalSustainabilityChecklistCompletionPercentage,,,double,4
,Notes,Facility level details about the building in Portfolio Manager.,Notes,,,string,4
,Service And Product Provider,The ABS Service and Product Provider associated with this Portfolio Manager Facility.,ServiceAndProductProvider,,,string,4
,Activity Area,,ActivityArea,,,Entity,5
,Air Distribution,,AirDistribution,,,Entity,5
,Conveyance,,Conveyance,,,Entity,5
,Cooking,,Cooking,,,Entity,5
,Cooling,,Cooling,,,Entity,5
,Dishwasher,,Dishwasher,,,Entity,5
,Energy Storage,,EnergyStorage,,,Entity,5
,Energy Use,,EnergyUse,,,Entity,5
,Fenestration,,Fenestration,,,Entity,5
,Foundation,,Foundation,,,Entity,5
,General Controls And Operations,,GeneralControlsAndOperations,,,Entity,5
,Heating,,Heating,,,Entity,5
,IT System,,ITSystem,,,Entity,5
,Laundry,,Laundry,,,Entity,5
,Lighting,,Lighting,,,Entity,5
,Measures,,Measures,,,Entity,5
,On Site Generation,,OnSiteGeneration,,,Entity,5
,Other HVAC,,OtherHVAC,,,Entity,5
,Pool,,Pool,,,Entity,5
,Process Load,,ProcessLoad,,,Entity,5
,Refrigeration,,Refrigeration,,,Entity,5
,Roof Or Ceiling,,RoofOrCeiling,,,Entity,5
,Service Hot Water,,ServiceHotWater,,,Entity,5
,Wall,,Wall,,,Entity,5
,Zonal Cooling,,ZonalCooling,,,Entity,5
,Zonal Heating,,ZonalHeating,,,Entity,5
,Owner Type,"The type of organization, association, business, etc. that owns the facility.",OwnerTypeEnum,,Property Management Company; Corporation/Partnership/LLC; Religious Organization; Other Non-Profit organization; Privately-Owned School; Individual; Other Nongovernment; Government; Federal Government; State Government; Local Government; Other; Unknown,ENUM,1
,Complete Total Energy,"True if facility record includes all energy types used at the facility, false otherwise. E.g. field is false if natural gas is missing.",CompleteTotalEnergy,,,boolean,1
CommercialFacility,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Year Completed,Year in which construction was completed.,YearCompleted,,,int,1
,Year Occupied,Year in which the facility was first occupied.,YearOccupied,,,int,1
,Owner Type,"The type of organization, association, business, etc. that owns the facility.",OwnerTypeEnum,,Property Management Company; Corporation/Partnership/LLC; Religious Organization; Other Non-Profit organization; Privately-Owned School; Individual; Other Nongovernment; Government; Federal Government; State Government; Local Government; Other; Unknown,ENUM,1
,Percent Occupied By Owner,Percent of facility area occupied by owner.,PercentOccupiedByOwner,,,double,2
,Operator Type,Entity responsible for the operation of the facility.,OperatorTypeEnum,,Owner; Occupant; Property Management Company; Other corporation/partnership/LLC; Religious organization; Other non-profit organization; Privately-owned school; Individual owner; Other nongovernment owner; Government; Federal government; State government; Local government; Other Or Combination; Unknown,ENUM,2
,Surroundings,Structure(s) surrounding the facility. ,SurroundingsEnum,,Stand-alone; Attached to another building on one side; Attached to another building on two sides; Attached to another building on three sides; Within a building; Unknown,ENUM,2
,Orientation,Orientation of the main long axis.,OrientationEnum,,East-West; North-South; North East-South West; North West-South East; Not Applicable,ENUM,2
,Building Footprint Area,"Total area of a lot or site that is surrounded by the exterior walls of a building or portion of a building, exclusive of courtyards. [square feet]",BuildingFootprintArea,,,double,2
,Footprint Shape,General shape of building footprint.,FootPrintShapeEnum,,Rectangular; Square; Circular; L-Shaped; U-Shaped; I-Shaped; V-Shaped; T-Shape; Other; Unknown,ENUM,2
,Perimeter,Length of a line forming the boundary around the facility. [feet],Perimeter,,,double,2
,Gross Floor Area,"Total floor area of all floors of a building calculated with the external dimensions of the enclosing fixed walls of the building including structures, partitions, corridors, stairs, and conditioned below-grade spaces. Note: All parking areas (enclosed and non-enclosed) should be excluded; atrium should only include the base floor area that it occupies. [square feet]",GrossFloorArea,,,double,1
,Net Floor Area,"Gross floor area of a building, excluding the area occupied by walls and partitions, the circulation area (where people walk), and the mechanical area (where there is mechanical equipment)  i.e. gross floor area reduced by the area for structural components. [square feet]",NetFloorArea,,,double,2
,Rentable Floor Area,Floor area that is being rented or is for rent. [square feet],RentableFloorArea,,,double,2
,Occupied Floor Area,Floor area that is currently occupied or assigned. [square feet],OccupiedFloorArea,,,double,2
,Lighted Floor Area,Floor area of all spaces that are lit artificially. [square feet],LightedFloorArea,,,double,2
,Heated Floor Area,Floor area of all heated spaces in the activity area. [square feet],HeatedFloorArea,,,double,2
,Cooled Floor Area,Floor area of all spaces that are cooled. [square feet],CooledFloorArea,,,double,2
,Unconditioned Floor Area,Floor area of a building that is neither heated nor cooled. [square feet],UnconditionedFloorArea,,,double,2
,Volume,Volume of a building measured by its external dimensions. [cubic feet],Volume,,,double,2
,Conditioned Building Volume,Heated or cooled air volume of a building. [cubic feet],ConditionedBuildingVolume,,,double,2
,Aspect Ratio,The ratio of the facility's width to its length.,AspectRatio,,,double,2
,Number Of Floors,Number of floors in the facility or actvity area.,NumberOfFloors,,,int,2
,Floors Above Ground,Number of floors which are above ground.,FloorsAboveGround,,,int,2
,Floors Below Ground,Number of floors which are underground pertaining to the activity area.,FloorsBelowGround,,,int,2
,Number Of Occupants,Number of occupants in the facility or activity area.,NumberOfOccupants,,,int,2
,Building Certification Type,"Building energy labeling, rating, or sustainability certification obtained. (Multiple instances of this field)",BuildingCertificationTypeEnum,,ASHRAE Building EQ; CMP Green Value Score; EPA ENERGY STAR Rating; EPA ENERGY STAR Label; Green Globes Rating; USGBC LEED Certification for New Construction & Major Renovation (NC); USGBC LEED Certification for Core & Shell Development (CS); USGBC LEED Certification for Commercial Interiors (CI); USGBC LEED Certification For Existing Buildings: Operations & Management (EBOM); USGBC LEED Certification for Retail; USGBC LEED Certification for Schools; USGBC LEED Certification for Healthcare; USGBC LEED Certification Neighborhood Development (ND); USGBC LEED Certification for Homes; Certified; Not Certified; Unknown,ENUM,1
,Building Certification Value,"Value specifying building certification, e.g. score or level. (Multiple instances of this field)",BuildingCertificationValue,,,string,1
,Certification Year,Year the facility earned certification. (Multiple instances of this field),CertificationYear,,,int,1
,Year Of Last Remodel,Year of the most recent remodel.,YearOfLastRemodel,,,int,2
,Number Of Activity Areas,"Number of separate activity areas (one or more) for this facility, as recorded in this dataset.",NumberOfActivityAreas,,,int,2
,Facility Number,Number for the specific facility (out of total for site).,FacilityNumber,,,string,3
,NAICS Code,North American Industry Classification System code.,NAICSCode,,,string,3
,Ownership Status,"The relationship of a housing unit's occupants to the structure itself, not the land on which the structure is located.",OwnershipStatusEnum,,Own or Buying; Renting; Occupying without payment of rent; Other Or Combination; Unknown,ENUM,3
,Facility Tax Floor Area,The floor area for the facility as defined by the tax records. [square feet],FacilityTaxFloorArea,,,double,3
,Enclosed Floor Area,Floor area of all spaces enclosed by walls. [square feet],EnclosedFloorArea,,,double,3
,Conditioned Floor Area,Floor area of all spaces that are either heated or cooled. [square feet],ConditionedFloorArea,,,double,3
,Semi-conditioned Floor Area,Partially heated or air-conditioned floor area of a building. [sq. ft.],SemiConditionedFloorArea,,,double,3
,Heated Only Floor Area,Floor area of all spaces that are only heated. [square feet],HeatedOnlyFloorArea,,,double,3
,Cooled Only Floor Area,Floor area of all spaces that are only cooled. [square feet],CooledOnlyFloorArea,,,double,3
,Heated And Cooled Floor Area,Floor area of all spaces that are both heated and cooled.,HeatedAndCooledFloorArea,,,double,3
,Non-Enclosed Floor Area (w/roof),Floor area of all spaces that are not enclosed by walls but do have a roof. [square feet],NonEnclosedFloorAreaWithRoof,,,double,3
,Open Floor Area (w/o roof),Floor area of all spaces that are not enclosed by walls and do not have roofs. [square feet],OpenFloorAreaWithoutRoof,,,double,3
,Basement Floor Area,Basement refers to an enclosed space under all or part of the building in which a person can walk upright.,BasementFloorArea,,,double,3
,Facility Height,Height of the facility. [feet],FacilityHeight,,,double,3
,Floor-to-Floor Height,"Average height of the floor(s), measured from floor to floor/ceiling. [feet]",FloortoFloorHeight,,,double,3
,Number Of Conditioned Floors,Number of conditioned floors above ground.,NumberOfConditionedFloors,,,int,3
,Number Of Conditioned Floors Above Ground,Number of floors that are conditioned and are above ground.,NumberOfConditionedFloorsAboveGround,,,int,3
,Numbers Of Conditioned Floors Below Ground,Number of floors that are conditioned and are below ground.,NumbersOfConditionedFloorsBelowGround,,,int,3
,Facility ID,The unique facility identifier.,FacilityID,,,string,4
,Facility Name,Name of the facility.,FacilityName,,,string,4
,Address Field 1,Street Address or other address field.,AddressField1,,,string,4
,Address Field 2,Street Address or other address field.,AddressField2,,,string,4
,Owner Name,Owner of the facility.,OwnerName,,,string,4
,Facility Contact,Primary contact for the facility.,FacilityContact,,,string,4
,Building Operator,"Name of building operator, if applicable.",BuildingOperator,,,string,4
,Building Operator Certification,Certification of building operator.,BuildingOperatorCertificationEnum,,BOC; BPI; Other; Unknown,ENUM,4
,Building Operator Certification Number,Building operator's certification or license number.,BuildingOperatorCertificationNumber,,,string,4
,Building Operator Certification State,Building operator's certification or license state.,BuildingOperatorCertificationState,,,string,4
,Owner Care-Of Name,Owner care-of contact for the facility.,OwnerCareOfName,,,string,4
,Owner Address 1,Street Address or other address field.,AddressOwnerField1,,,string,4
,Owner Address 2,Street Address or other address field.,AddressOwnerField2,,,string,4
,Owner City,The city in which the site is located.,City,,,string,1
,Owner State,The state in which the site is located.,StateEnum,,DC; AS; GU; CM; PR; VI; PTR; AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RI; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,ENUM,1
,Owner Postal Code,The postal code in which the site is located.,PostalCode,,,string,1
,Owner Phone Number,Phone number of the commercial facility owner.,OwnerPhoneNumber,,,string,4
,Property Management Company,Company name managing the property.,PropertyManagementCompany,,,string,4
,Property Management Address,Address of the property management company.,PropertyManagementAddress,,,string,4
,Property Management Contact,Name of primary contact for the property management company.,PropertyManagementContact,,,string,4
,Property Management Phone,Phone number of property management company.,PropertyManagementPhone,,,string,4
