,Org ID,Building Snapshot Field name,Building snapshot extra data field key,Bluesky table name,Bluesky Field Name,Data Source,,Multiple Tax Lot data source
1,69,,Hotel - Gym/fitness  Center Floor Area (ft2),Property,extra_data,CBL,,
1,69,,Estimated Values - Energy,Property,extra_data,CBL,,
1,69,,"Hotel - Room Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Office - Number of Workers on Main Shift,Property,extra_data,CBL,,
1,69,,Hotel - Number Of Commercial Refrigeration/Freezer Units,Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical) - Onsite Laundry Facility,Property,extra_data,CBL,,
1,69,,Alert - Meter Has Overlaps,Property,extra_data,CBL,,
1,69,,"Hospital (General Medical & Surgical) - Full Time Equivalent (FTE) Workers Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,"Retail Store - Worker Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Worship Facility - Number of Computers,Property,extra_data,CBL,,
1,69,,Parking - Supplemental Heating,Property,extra_data,CBL,,
1,69,,Residence Hall/ Dormitory - Computer Lab,Property,extra_data,CBL,,
1,69,,Largest Property Use Type - Gross Floor Area (ft2),Property,extra_data,CBL,,
1,69,,Restaurant - Number of Workers on Main Shift,Property,extra_data,CBL,,
1,69,,Multifamily Housing - Number Of Residential Living Units In A High-Rise Setting (10 Or More Stories),Property,extra_data,CBL,,
1,69,,Hotel - Cooking Facilities,Property,extra_data,CBL,,
1,69,,Alert - Property Has No Uses,Property,extra_data,CBL,,
1,69,,Worship Facility - Open All Weekdays,Property,extra_data,CBL,,
1,69,,Retail Store - Cooking Facilities,Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical) - Staffed Bed Density (Number Per 1,000 Ft2),Property,extra_data,CBL,,
1,69,,Multifamily Housing - Number of Laundry Hookups in All Units,Property,extra_data,CBL,,
1,69,,Multifamily Housing - Number Of Bedrooms Density (Number Per 1,000 Ft2),Property,extra_data,CBL,,
1,69,,Data Quality Checker - Date Run,Property,extra_data,CBL,,
1,69,,Total GHG Emissions Intensity (kgCO2e/ft2),Property,extra_data,CBL,,
1,69,,Hotel - Commercial Refrigeration Density (Number Per 1,000 Ft2),Property,extra_data,CBL,,
1,69,,% Difference From National Median Source EUI,Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical) - Number of Workers on Main Shift,Property,extra_data,CBL,,
1,69,,College/University - Weekly Operating Hours,Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical) - Licensed Bed Capacity,Property,extra_data,CBL,,
1,69,,K-12 School - Number of Computers,Property,extra_data,CBL,,
1,69,,K-12 School - Gymnasium Floor Area (ft2),Property,extra_data,CBL,,
1,69,,Alert - No Meters Are Associated With This Property,Property,extra_data,CBL,,
1,69,,K-12 School - Student Seating Density (Number Per 1,000 Ft2),Property,extra_data,CBL,,
1,69,,Alert - Meter Has Less Than 12 Full Calendar Months Of Data,Property,extra_data,CBL,,
1,69,,K-12 School - Percent That Can Be Heated,Property,extra_data,CBL,,
1,69,,K-12 School - Student Seating Capacity,Property,extra_data,CBL,,
1,69,,Residence Hall/Dormitory - Percent That Can Be Cooled,Property,extra_data,CBL,,
1,69,,Retail Store - Length Of All Open Or Closed Refrigeration/Freezer Units (ft),Property,extra_data,CBL,,
1,69,,Data Center - UPS System Redundancy,Property,extra_data,CBL,,
1,69,,Hotel - Number of Workers on Main Shift,Property,extra_data,CBL,,
1,69,,2015 Report Received,Property,extra_data,CBL,,
1,69,,2nd Contact Email,Property,extra_data/Second Contact Email,CBL,,
1,69,,2nd Contact Name,Property,extra_data/Second Contact Name,CBL,,
1,69,,2nd Contact Organization,Property,extra_data/Second Contact Organization,CBL,,
1,69,,2nd Contact Phone,Property,extra_data/Second Contact Phone,CBL,,
1,69,,2nd Contact Title,Property,extra_data/Second Contact Title,CBL,,
1,69,,3rd Contact Email,Property,extra_data,CBL,,
1,69,,3rd Contact Name,Property,extra_data,CBL,,
1,69,,3rd Contact Organization,Property,extra_data,CBL,,
1,69,,3rd Contact Phone,Property,extra_data,CBL,,
1,69,,3rd Contact Title,Property,extra_data,CBL,,
1,69,,Address 1,Property,extra_data,PM,This address is from PM -- should it be the Property Address (not the Tax Lot address?),
1,69,,Address 2,Property,extra_data,PM,,
1,69,,Address Points GIS,Tax,extra_data,CBL,Should this be in the Tax table or the Property/Building Table?,
1,69,,Assessor Address,Tax,extra_data/Assessors Address,CBL,Presumably this should go with in the tax table,
1,69,,Bld_GLA,Property,extra_data,CBL,Confirmed with Bronwyn that GLA fields are from tax assessor,
1,69,,City Notes,Property,extra_data,CBL,,
1,69,,Co_grantee,Property,extra_data,CBL,,
1,69,,Contact email,Property,extra_data,CBL,,
1,69,,Contact Name,Property,extra_data,CBL,,
1,69,,Contact Organization,Property,extra_data,CBL,,
1,69,,Contact Phone,Property,extra_data,CBL,,
1,69,,Contact Title,Property,extra_data,CBL,,
1,69,,Grantee,Property,extra_data,CBL,,
1,69,,Grantee City,Property,extra_data,CBL,,
1,69,,Mailing Address,Property,extra_data,CBL,,
1,69,,Mailing Address 2,Property,extra_data,CBL,,
1,69,,ML,Tax,jurisdiction_tax_lot_id,CBL,Confirmed on cambridge city tax db that this is Tax Lot ID (Map/Lot) https://www.cambridgema.gov/propertydatabase/21897,
1,69,,Parcel_GLA,Tax,extra_data/Parcel GLA,CBL,Confirmed with Bronwyn that GLA fields are from tax assessor,
#1,69,,Property Type,Property,use_description,CBL,Source? Tax Lot or Building/Property,
1,69,,Property Type,Property,extra_data/Compliance Property Type,CBL,Source? Tax Lot or Building/Property,
1,69,,Rollup,Property,extra_data,CBL,,
1,69,,State,Tax,extra_data/Assessors State,CBL,,
1,69,,State Use,Property,extra_data/Assessors State Use Code,CBL,,
1,69,,Units,Property,extra_data,CBL,,
1,69,,Year Added,Property,extra_data,CBL,,
1,69,,City,Tax,extra_data/Assessors City,CBL,,
1,69,,city,Tax,extra_data/Assessors City,CBL,,
1,69,,Zip,Tax,extra_data/Assessors Zip,CBL,there is already zip data in the postal_code field,
#1,69,,Property ID,Property,extra_data,PM,This is extra data which means it was not mapped to pm_property_id but which should have been,
1,69,,Property ID,Property,extra_data,PM,This is extra data which means it was not mapped to pm_property_id but which should have been,
1,69,1,custom_id_1,Property,custom_id_1,CBL,"This is in CBL, and is the Building ID",
1,69,,Parent Property Id,Property,pm_parent_property_id,PM,This is how you figure out the campus buildings,
1,69,,Parent Property Name,Property,extra_data,PM,,
1,69,,Adult Education - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Alert - Data Center Does Not Have An IT Meter,Property,extra_data,PM,,
1,69,,Alert - No Meter Are Associated With This Property,Property,extra_data,PM,,
1,69,,Ambulatory Surgical Center - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Aquarium - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Automobile Dealership - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Bank Branch - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Bar/Nightclub - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Barracks- Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Bowling Alley - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Casino - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Coal - Anthracite Use (kBtu),Property,extra_data,PM,,
1,69,,Coal - Bituminous Use (kBtu),Property,extra_data,PM,,
1,69,,Coke Use (kBtu),Property,extra_data,PM,,
1,69,,College/University - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Convenience Store With Gas Station - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Convenience Store Without Gas Station - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Convention Center - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,CoStar Property ID,Property,extra_data,PM,,
1,69,,Courthouse - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Data Center - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Date Property Last Modified,Property,extra_data,PM,,
1,69,,Default Values,Property,extra_data,PM,,
1,69,,Diesel #2 Use (kBtu),Property,extra_data,PM,,
1,69,,Direct GHG Emissions (Metric Tons CO2e),Property,extra_data,PM,,
1,69,,Distribution Center - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,District Chilled Water Use (kBtu),Property,extra_data,PM,,
1,69,,District Hot Water Use (kBtu),Property,extra_data,PM,,
1,69,,District Steam Use (kBtu),Property,extra_data,PM,,
1,69,,Drinking Water Treatment & Distribution - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Electricity Use  Generated From Onsite Renewable Systems (kWh),Property,extra_data,PM,,
1,69,,Electricity Use  Generated From Onsite Renewable Systems And Exported (kWh),Property,extra_data,PM,,
1,69,,Electricity Use  Generated From Onsite Renewable Systems And Used Onsite (kBtu),Property,extra_data,PM,,
1,69,,Electricity Use  Generated From Onsite Renewable Systems And Used Onsite (kWh),Property,extra_data,PM,,
1,69,,Electricity Use - Grid Purchase (kBtu),Property,extra_data,PM,,
1,69,,Electricity Use - Grid Purchase (kWh),Property,extra_data,PM,,
1,69,,Electricity Use - Grid Purchase And Generated From Onsite Renewable Systems (kBtu),Property,extra_data,PM,,
1,69,,Electricity Use - Grid Purchase And Generated From Onsite Renewable Systems (kWh),Property,extra_data,PM,,
1,69,,Enclosed Mall - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Energy Current Date,Property,extra_data,PM,,
1,69,,ENERGY STAR Certification - Eligibility,Property,extra_data,PM,,
1,69,,ENERGY STAR Certification - Year(s) Certified,Property,extra_data,PM,,
1,69,,Energy/Power Station - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Estimated Data Flag - Electricity (Grid Purchase),Property,extra_data,PM,,
1,69,,Estimated Data Flag - Municipally Supplied Potable Water: Combined Indoor/Outdoor Or Other Use,Property,extra_data,PM,,
1,69,,Estimated Data Flag - Natural Gas,Property,extra_data,PM,,
1,69,,Estimated Values,Property,extra_data,PM,,
1,69,,Retail Store - Percent That Can Be Cooled,Property,extra_data,PM,,
1,69,,College/University - Number of Workers on Main Shift,Property,extra_data,PM,,
1,69,,Fast Food Restaurant - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Financial Office - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Fire Station - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Fitness Center/Health Club/Gym - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Food Sales - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Food Service - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Fuel Oil #1 Use (kBtu),Property,extra_data,PM,,
1,69,,Fuel Oil #2 Use (kBtu),Property,extra_data,PM,,
1,69,,Fuel Oil #4 Use (kBtu),Property,extra_data,PM,,
1,69,,Fuel Oil #5 & 6 Use (kBtu),Property,extra_data,PM,,
1,69,,Green Power - Offsite (kWh),Property,extra_data,PM,,
1,69,,Green Power - Onsite (kWh),Property,extra_data,PM,,
1,69,,Hospital (General Medical & Surgical) - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Hotel - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Ice/Curling Rink - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Indirect GHG Emissions (Metric Tons CO2e),Property,extra_data,PM,,
1,69,,Indoor Arena - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Indoor Water Intensity (All Water Sources) (gal/ft2),Property,extra_data,PM,,
1,69,,Indoor Water Use (All Water Sources) (kgal),Property,extra_data,PM,,
1,69,,K-12 School - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Kerosene Use (kBtu),Property,extra_data,PM,,
1,69,,Laboratory - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Library - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Lifestyle Center - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Liquid Propane Use (kBtu),Property,extra_data,PM,,
1,69,,Mailing Center/Post Office - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Manufacturing/Industrial Plant - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Medical Office - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Metered Areas  (Water),Property,extra_data,PM,,
1,69,,Metered Areas (Energy),Property,extra_data,PM,,
1,69,,Movie Theater - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Multifamily Housing - Government Subsidized Housing,Property,extra_data,PM,,
1,69,,Multifamily Housing - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Multifamily Housing - Total Number Of Residential Living Units,Property,extra_data,PM,,
1,69,,Museum - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,National Median Reference Property Type,Property,extra_data,PM,,
1,69,,National Median Site Energy Use (kBtu),Property,extra_data,PM,,
1,69,,National Median Site EUI (kBtu/ft2),Property,extra_data,PM,,
1,69,,National Median Source Energy Use (kBtu),Property,extra_data,PM,,
1,69,,National Median Source EUI (kBtu/ft2),Property,extra_data,PM,,
1,69,,Natural Gas Use (kBtu),Property,extra_data,PM,,
1,69,,Natural Gas Use (therms),Property,extra_data,PM,,
1,69,,Non-Refrigerated Warehouse - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Occupancy,Property,extra_data,PM,,
1,69,,Office - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,On Behalf Of,Property,extra_data,PM,,
1,69,,Organization,Property,extra_data,PM,,
1,69,,Other - Education - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Entertainment/Public Assembly - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Lodging/Residential - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Mall - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Public Services - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Recreation - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Restaurant/Bar - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Services - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Specialty Hospital - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Stadium - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Technology/Science - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other - Utility - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Other Use (kBtu),Property,extra_data,PM,,
1,69,,Outdoor Water Use (All Water Sources) (kgal),Property,extra_data,PM,,
1,69,,Outpatient Rehabilitation/Physical Therapy - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Parking - Completely Enclosed Parking Garage Size (ft2),Property,extra_data,PM,,
1,69,,Parking - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Parking - Open Parking Lot Size (ft2),Property,extra_data,PM,,
1,69,,Parking - Partially Enclosed Parking Garage Size (ft2),Property,extra_data,PM,,
1,69,,Performing Arts - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,"Personal Services (Health/Beauty, Dry Cleaning, Etc.) - Gross Floor Area (ft2)",Property,extra_data,PM,,
1,69,,Police Station - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Pre-school/Daycare - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Primary Property Type - EPA Calculated,Property,extra_data,PM,,
1,69,,Primary Property Type - Self Selected,Property,extra_data,PM,,
1,69,,Prison/Incarceration - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Propane Use (kBtu),Property,extra_data,PM,,
1,69,,Property Data Administrator,Property,extra_data,PM,,
1,69,,Property Data Administrator - Email,Property,extra_data,PM,,
1,69,,Property Floor Area (Buildings And Parking) (ft2),Property,extra_data,PM,,
1,69,,Property Floor Area (Parking) (ft2),Property,extra_data,PM,,
1,69,,Race Track - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Refrigerated Warehouse - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,"Repair Services (Vehicle, Shoe, Locksmith, Etc.) - Gross Floor Area (ft2)",Property,extra_data,PM,,
1,69,,Residence Hall/Dormitory - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Restaurant - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Retail Store - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Roller Rink - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Self-Storage Facility - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Senior Care Community - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Service and Product Provider,Property,extra_data,PM,,
1,69,,Single Family Home - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Site Energy Use (kBtu),Property,extra_data,PM,,
1,69,,Social/Meeting Hall - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Source Energy Use (kBtu),Property,extra_data,PM,,
1,69,,Stadium (Closed) - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Stadium (Open) - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Strip Mall - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Supermarket/Grocery - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Swimming Pool - Approximate Pool Size,Property,extra_data,PM,,
1,69,,Swimming Pool - Months in Use,Property,extra_data,PM,,
1,69,,Temporary Values,Property,extra_data,PM,,
1,69,,Total GHG Emissions (Metric Tons CO2e),Property,extra_data,PM,,
1,69,,Transportation Terminal/Station - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Urgent Care/Clinic/Other Outpatient - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Veterinary Office - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Vocational School - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Wastewater Treatment Plant - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Water Current Date,Property,extra_data,PM,,
1,69,,Water Use (All Water Sources) (kgal),Property,extra_data,PM,,
1,69,,Water/Wastewater Site EUI (kBtu/gpd),Property,extra_data,PM,,
1,69,,Water/Wastewater Source EUI (kBtu/gpd),Property,extra_data,PM,,
1,69,,Weather Normalized Site Electricity (kWh),Property,extra_data,PM,,
1,69,,Weather Normalized Site Electricity Intensity (kWh/ft2),Property,extra_data,PM,,
1,69,,Weather Normalized Site Energy Use (kBtu),Property,extra_data,PM,,
1,69,,Weather Normalized Site Natural Gas Intensity (therms/ft2),Property,extra_data,PM,,
1,69,,Weather Normalized Site Natural Gas Use (therms),Property,extra_data,PM,,
1,69,,Weather Normalized Source Energy Use (kBtu),Property,extra_data,PM,,
1,69,,Weather Normalized Water/Wastewater Site EUI (kBtu/gpd),Property,extra_data,PM,,
1,69,,Weather Normalized Water/Wastewater Source EUI (kBtu/gpd),Property,extra_data,PM,,
1,69,,Wholesale Club/Supercenter- Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Wood Use (kBtu),Property,extra_data,PM,,
1,69,,Worship Facility - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,Zoo - Gross Floor Area (ft2),Property,extra_data,PM,,
1,69,,"Hotel - Full Service Spa Floor Area (ft2)",Property,extra_data,CBL,,
1,69,,"College/University - Worker Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,"Multifamily Housing - Number Of Residential Living Units In A Mid-Rise Setting Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,"Office - Worker Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,"Hospital (General Medical & Surgical) - Maximum Number of Floors",Property,extra_data,CBL,,
1,69,,"Retail Store - Single Store",Property,extra_data,CBL,,
1,69,,"Multifamily Housing - Number Of Residential Living Units In A Low-Rise Setting Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,"Data Center - Cooling Equipment Redundancy",Property,extra_data,CBL,,
1,69,,"Alert - Gross Floor Area Is 0 Ft2",Property,extra_data,CBL,,
1,69,,"Estimated Values - Water",Property,extra_data,CBL,,
1,69,,"Worship Facility - Weekly Operating Hours",Property,extra_data,CBL,,
